Company,Type,Inches,CPU,Generation,RAM,Memory,GPU,OS,Weight,Price
Asus,Ultrabook,14,Core i7,8,8GB,256GB SSD,Intel,Windows 11,2kg,4200000
Dell,2 in 1,14,Core i7,7,8GB,256GB SSD,Intel,Windows 11,2kg,4200000
Hp,Workstation,14,Core i5,4,4GB,128GB SSD,Intel,Windows 11,2kg,2000000
Acer,Workstation,14,Core i7,2,8GB,128GB SSD,Intel + Nvidia,Windows 10,2kg,2100000
Acer,Ultrabook,14,Core i7,10,8GB,256GB SSD,Intel + Nvidia,Windows 11,2kg,6000000
Hp,Workstation,14,Core i5,7,8GB,256GB SSD,Intel,Windows 11,2kg,3300000
Asus,2 in 1,14,Core i5,3,8GB,128GB SSD,Intel,Windows 10,2kg,2100000
Dell,Workstation,13,Core i5,5,4GB,128GB SSD,Intel,Windows 11,2kg,2300000
Dell,Workstation,13,Core i7,5,8GB,256GB SSD,Intel,Windows 11,2kg,3000000
Hp,2 in 1,14,Core i7,7,8GB,512GB SSD,Intel,Windows 10,2kg,4000000
Thinkpad,Workstation,14,Core i5,4,8GB,128GB SSD,Intel,Windows 11,2kg,2100000
Asus,Gaming,14,Core i7,7,8GB,256GB SSD,Intel + Nvidia GTX,Windows 11,2kg,6000000
Thinkpad,Workstation,14,Core i5,6,8GB,256GB SSD,Intel,Windows 11,2kg,2500000
Asus,Ultrabook,14,Core i7,7,8GB,256GB SSD,Intel + Nvidia,Windows 11,2kg,4800000
Dell,Workstation,13,Core i5,6,16GB,256GB SSD,Intel,Windows 11,2kg,2800000
Hp,Workstation,14,Core i5,3,8GB,128GB SSD,Intel,Windows 10,2kg,2000000
Acer,Ultrabook,15,Core i5,11,8GB,500GB HDD,Intel,Windows 10,2kg,5000000
Dell,Workstation,14,Core i5,4,8GB,128GB SSD,Intel,Windows 11,2kg,1900000
Dell,Workstation,14,Core i7,4,8GB,256GB SSD,Intel,Windows 11,2kg,2300000
Hp,Workstation,14,Core i5,5,8GB,128GB SSD,Intel,Windows 11,2kg,2100000
Hp,Workstation,14,Core i7,5,8GB,256GB SSD,Intel,Windows 11,2kg,2600000
Thinkpad,Workstation,14,Core i5,3,4GB,320GB HDD,Intel,Windows 10,2kg,1600000
Hp,Workstation,14,Core i7,6,8GB,256GB SSD,AMD,Windows 11,2kg,3100000
Asus,Workstation,14,Core i7,2,8GB,128GB SSD,Intel,Windows 10,2kg,2000000
Hp,Ultrabook,14,Core i5,3,8GB,128GB SSD,Nvidia,Windows 10,2kg,2000000
Hp,Ultrabook,14,Core i7,4,8GB,256GB SSD,Intel,Windows 11,2kg,2600000
Acer,Workstation,14,Core i5,4,8GB,128GB SSD,Intel + Nvidia,Windows 10,2kg,2200000
Lenovo,Ultrabook,14,Core i5,4,8GB,128GB SSD,Intel + Nvidia,Windows 10,2kg,2000000
Asus,Ultrabook,14,Core i7,7,8GB,512GB SSD,Intel,Windows 10,2kg,4500000
Hp,Ultrabook,14,Core i7,6,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,3600000
Asus,Ultrabook,15,Core i7,7,8GB,128GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,3kg,5000000
Hp,Ultrabook,14,Ryzen 5,3,8GB,256GB SSD,AMD,Windows 10,2kg,3500000
Asus,Ultrabook,14,Core i5,4,8GB,128GB SSD,Intel,Windows 10,2kg,2600000
Thinkpad,Workstation,14,Core i5,6,4GB,256GB SSD,Intel,Windows 11,2kg,3000000
Dell,Gaming,15,Core i7,9,8GB,256GB SSD,Nvidia GTX,Windows 11,3kg,9500000
Thinkpad,Workstation,14,Core i5,5,8GB,256GB SSD,Intel,Windows 10,2kg,2000000
Dell,Ultrabook,14,Core i7,10,8GB,512GB SSD,Intel,Windows 10,2kg,5000000
Thinkpad,2 in 1,14,Core i7,5,12GB,256GB SSD,Intel,Windows 10,2kg,3500000
Hp,Ultrabook,14,Core i5,8,16GB,256GB SSD,Intel,Windows 10,2kg,4500000
Asus,Ultrabook,14,Core i7,7,8GB,1000GB HDD,Intel + Nvidia,Windows 10,2kg,4500000
Fujitsu,Workstation,14,Core i7,2,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,2200000
Hp,Ultrabook,14,Core i5,8,8GB,512GB SSD,Intel,Windows 10,2kg,3500000
Asus,Workstation,14,Core i7,2,8GB,128GB SSD,Intel + Nvidia,Windows 10,2kg,2500000
Acer,Gaming,15,Core i7,8,16GB,128GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,4kg,7900000
Acer,Workstation,14,Core i7,6,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,3600000
Thinkpad,Workstation,14,Core i5,6,8GB,128GB SSD,Intel,Windows 10,2kg,2700000
Acer,Ultrabook,14,Core i5,1,4GB,640GB HDD,Intel + Nvidia,Windows 7,2kg,1500000
Hp,Ultrabook,13,Core i5,4,8GB,500GB HDD,Intel,Windows 10,2kg,2500000
Sony Vaio,Workstation,14,Core i5,2,8GB,500GB HDD,Intel + AMD,Windows 10,2kg,1900000
Asus,Workstation,14,Core i7,1,6GB,128GB SSD,AMD,Windows 10,2kg,1850000
Asus,Workstation,14,Core i5,1,4GB,1000GB HDD,Intel + Nvidia,Windows 7,2kg,1450000
Asus,Workstation,14,Core i7,2,8GB,500GB HDD,Intel + Nvidia,Windows 10,2kg,2400000
Asus,Workstation,14,Core i5,3,8GB,128GB SSD,Intel + Nvidia,Windows 10,2kg,2500000
Asus,Workstation,14,Core i7,2,8GB,128GB SSD,Intel + Nvidia,Windows 10,2kg,2400000
Asus,Workstation,14,Core i5,2,8GB,500GB HDD,Intel + Nvidia,Windows 10,2kg,2100000
Toshiba,Workstation,15,Core i7,2,8GB,750GB HDD,Intel + Nvidia,Windows 10,2kg,2400000
Asus,Ultrabook,13,Core i7,6,8GB,256GB SSD,Intel,Windows 10,2kg,3900000
Hp,Workstation,14,Core i5,4,4GB,128GB SSD,Intel + Nvidia,Windows 10,2kg,2600000
Hp,Ultrabook,14,Core i5,8,8GB,256GB SSD,Intel + AMD,Windows 10,2kg,4000000
Hp,Ultrabook,14,Core i5,8,8GB,240GB SSD,Intel + Nvidia,Windows 10,2kg,4000000
Asus,Ultrabook,14,Core i5,8,8GB,128GB SSD,Intel,Windows 10,2kg,3700000
Dell,Ultrabook,14,Core i7,8,8GB,256GB SSD,Intel,Windows 11,2kg,4800000
Thinkpad,Workstation,14,Core i5,6,8GB,256GB SSD,Intel,Windows 11,2kg,2450000
